time_stats.emb.min,time_stats.emb.max,time_stats.emb.mean,time_stats.emb.median,time_stats.emb.std,time_stats.input_layernorm.min,time_stats.input_layernorm.max,time_stats.input_layernorm.mean,time_stats.input_layernorm.median,time_stats.input_layernorm.std,time_stats.attn_pre_proj.min,time_stats.attn_pre_proj.max,time_stats.attn_pre_proj.mean,time_stats.attn_pre_proj.median,time_stats.attn_pre_proj.std,time_stats.attn_rope.min,time_stats.attn_rope.max,time_stats.attn_rope.mean,time_stats.attn_rope.median,time_stats.attn_rope.std,time_stats.attn_post_proj.min,time_stats.attn_post_proj.max,time_stats.attn_post_proj.mean,time_stats.attn_post_proj.median,time_stats.attn_post_proj.std,time_stats.mlp_up_proj.min,time_stats.mlp_up_proj.max,time_stats.mlp_up_proj.mean,time_stats.mlp_up_proj.median,time_stats.mlp_up_proj.std,time_stats.mlp_act.min,time_stats.mlp_act.max,time_stats.mlp_act.mean,time_stats.mlp_act.median,time_stats.mlp_act.std,time_stats.mlp_down_proj.min,time_stats.mlp_down_proj.max,time_stats.mlp_down_proj.mean,time_stats.mlp_down_proj.median,time_stats.mlp_down_proj.std,time_stats.add.min,time_stats.add.max,time_stats.add.mean,time_stats.add.median,time_stats.add.std,n_head,n_kv_head,n_embd,n_expanded_embd,vocab_size,use_gated_mlp,num_tokens,num_tensor_parallel_workers
0.366,0.379,0.37433333333333335,0.374,0.003167293171107792,0.139,0.14200000000000002,0.14115,0.14100000000000001,0.0007262919523166982,5.74,6.01,5.8901,5.8740000000000006,0.056360358409080366,0.276,0.28300000000000003,0.2789,0.279,0.001670329308849008,1.9040000000000001,1.994,1.9533999999999998,1.948,0.01827128895288998,8.536,8.939,8.754099999999998,8.7395,0.08514217521299315,0.431,0.44,0.43515000000000004,0.435,0.0021277922830953235,8.35,8.746,8.570899999999998,8.5455,0.09997694734287507,0.27,0.273,0.27145,0.271,0.0006689544080129831,64,64,8192,36864,50272,False,3808,1
0.368,0.377,0.372047619047619,0.372,0.00245872964636678,0.139,0.14100000000000001,0.13950000000000004,0.139,0.0007416198487095669,5.841,6.009,5.8976500000000005,5.873,0.04668755187413447,0.274,0.28,0.27655,0.277,0.0013955285736952875,1.937,1.993,1.9545000000000001,1.948,0.015973415414368967,8.683,8.943,8.7693,8.735,0.07773679952249138,0.43,0.436,0.43179999999999996,0.431,0.0016309506430300105,8.498,8.741,8.5829,8.541,0.08150822044432074,0.268,0.271,0.26930000000000004,0.269,0.0009539392014169466,64,64,8192,36864,50272,False,3776,1
0.359,0.368,0.36590476190476184,0.367,0.0023279822022057766,0.137,0.139,0.1383,0.138,0.0005567764362830027,5.742,5.922,5.86995,5.872,0.04407207165541451,0.27,0.276,0.274,0.2745,0.0016431676725155,1.903,1.967,1.9450500000000002,1.948,0.01710694303492006,8.535,8.83,8.718800000000002,8.7305,0.08372311508777013,0.423,0.428,0.42680000000000007,0.427,0.0014696938456699082,8.347,8.636000000000001,8.5441,8.5425,0.08373344612518961,0.266,0.269,0.26715,0.267,0.0009630680142129119,64,64,8192,36864,50272,False,3744,1
0.36,0.376,0.3648571428571428,0.364,0.0037706348371103183,0.137,0.139,0.1374,0.137,0.0006633249580710806,5.591,5.791,5.6731,5.662,0.04995087586819673,0.269,0.276,0.27204999999999996,0.272,0.0018296174463532005,1.923,1.992,1.9494500000000001,1.948,0.017727027387579683,8.377,8.676,8.48685,8.48,0.07657171475159738,0.421,0.429,0.4241,0.424,0.0021189620100417112,8.437,8.744,8.557749999999999,8.543,0.08536443931755201,0.262,0.266,0.2638000000000001,0.264,0.0012083045973594582,64,64,8192,36864,50272,False,3712,1
0.356,0.368,0.36128571428571427,0.361,0.003088270546112567,0.135,0.138,0.13640000000000002,0.136,0.0007348469228349541,5.591,5.791,5.66525,5.6610000000000005,0.05085653841936152,0.266,0.274,0.26980000000000004,0.2695,0.0021817424229271447,1.923,1.985,1.9477,1.9475,0.017939063520708086,8.376,8.605,8.467750000000002,8.4775,0.07153661649812655,0.418,0.425,0.41995000000000005,0.42,0.0018834808201837383,8.433,8.739,8.5382,8.538,0.07812208394557849,0.26,0.263,0.26125000000000004,0.261,0.0008874119674649432,64,64,8192,36864,50272,False,3680,1
0.352,0.365,0.3584285714285714,0.358,0.002920721185751556,0.134,0.136,0.13545000000000001,0.1355,0.0005894913061275802,5.589,5.792,5.6793499999999995,5.6615,0.04985707071218679,0.264,0.271,0.26725,0.267,0.0017853571071357146,1.922,1.993,1.9507,1.9475,0.019644592131169345,8.375,8.674,8.4879,8.479000000000001,0.07551681931861264,0.41400000000000003,0.421,0.41645000000000004,0.417,0.001829617446353179,8.435,8.738,8.5539,8.537500000000001,0.08578222426586983,0.258,0.26,0.25895000000000007,0.259,0.0005894913061275802,64,64,8192,36864,50272,False,3648,1
0.34900000000000003,0.359,0.35557142857142854,0.356,0.0022587697572631223,0.133,0.135,0.13365,0.1335,0.0007262919523166982,5.557,5.724,5.6575500000000005,5.66,0.040222475060592726,0.261,0.268,0.2652,0.265,0.0016309506430300107,1.922,1.97,1.9449999999999998,1.947,0.014042791745233575,8.303,8.575000000000001,8.4576,8.476,0.07080423716134518,0.40900000000000003,0.41500000000000004,0.4123500000000001,0.41300000000000003,0.0016815171720800254,8.344,8.639,8.52195,8.535,0.06939486652483748,0.255,0.258,0.2567,0.257,0.0007810249675906661,64,64,8192,36864,50272,False,3616,1
0.34700000000000003,0.37,0.3533809523809524,0.35100000000000003,0.005618644053304342,0.131,0.136,0.13294999999999998,0.133,0.001160818676624391,5.389,5.789,5.4936,5.455,0.0895206121516156,0.262,0.27,0.264,0.263,0.0022583179581272448,1.917,2.037,1.952,1.939,0.028574464124459083,8.156,8.652000000000001,8.302600000000002,8.251,0.13208118715396236,0.406,0.422,0.40990000000000004,0.40900000000000003,0.003923009049186596,7.9830000000000005,8.576,8.1451,8.089500000000001,0.1463604796384597,0.254,0.258,0.25570000000000004,0.256,0.0009539392014169465,64,64,8192,36864,50272,False,3584,1
0.34700000000000003,0.354,0.3495714285714286,0.34900000000000003,0.0018916213396229543,0.131,0.133,0.13205,0.132,0.0006689544080129832,5.449,5.579,5.4673,5.452,0.03958926622204555,0.258,0.264,0.26115000000000005,0.261,0.0017109938632268687,1.938,1.984,1.94465,1.939,0.014029522443761221,8.248,8.446,8.280249999999999,8.25,0.06972078241098573,0.405,0.41000000000000003,0.40590000000000004,0.405,0.001513274595042157,8.079,8.267,8.10605,8.0835,0.057358063949195286,0.251,0.255,0.25295,0.253,0.0009205976319760992,64,64,8192,36864,50272,False,3552,1
0.342,0.364,0.347,0.34600000000000003,0.005648430038936639,0.13,0.134,0.13085,0.131,0.001061838029079766,5.383,5.789,5.48655,5.452500000000001,0.10588317855070271,0.256,0.267,0.25880000000000003,0.2585,0.002561249694973142,1.915,2.057,1.94965,1.939,0.03462553248688024,8.153,8.758000000000001,8.2889,8.249,0.13273541351124046,0.4,0.41400000000000003,0.40235000000000004,0.401,0.0031823733281939152,7.982,8.577,8.130600000000001,8.0845,0.14109727141231335,0.248,0.251,0.2494,0.249,0.0009695359714832667,64,64,8192,36864,50272,False,3520,1
