time_stats.emb.min,time_stats.emb.max,time_stats.emb.mean,time_stats.emb.median,time_stats.emb.std,time_stats.input_layernorm.min,time_stats.input_layernorm.max,time_stats.input_layernorm.mean,time_stats.input_layernorm.median,time_stats.input_layernorm.std,time_stats.attn_pre_proj.min,time_stats.attn_pre_proj.max,time_stats.attn_pre_proj.mean,time_stats.attn_pre_proj.median,time_stats.attn_pre_proj.std,time_stats.attn_rope.min,time_stats.attn_rope.max,time_stats.attn_rope.mean,time_stats.attn_rope.median,time_stats.attn_rope.std,time_stats.attn_post_proj.min,time_stats.attn_post_proj.max,time_stats.attn_post_proj.mean,time_stats.attn_post_proj.median,time_stats.attn_post_proj.std,time_stats.post_attention_layernorm.min,time_stats.post_attention_layernorm.max,time_stats.post_attention_layernorm.mean,time_stats.post_attention_layernorm.median,time_stats.post_attention_layernorm.std,time_stats.mlp_up_proj.min,time_stats.mlp_up_proj.max,time_stats.mlp_up_proj.mean,time_stats.mlp_up_proj.median,time_stats.mlp_up_proj.std,time_stats.mlp_act.min,time_stats.mlp_act.max,time_stats.mlp_act.mean,time_stats.mlp_act.median,time_stats.mlp_act.std,time_stats.mlp_down_proj.min,time_stats.mlp_down_proj.max,time_stats.mlp_down_proj.mean,time_stats.mlp_down_proj.median,time_stats.mlp_down_proj.std,time_stats.add.min,time_stats.add.max,time_stats.add.mean,time_stats.add.median,time_stats.add.std,n_head,n_kv_head,n_embd,n_expanded_embd,vocab_size,use_gated_mlp,num_tokens,num_tensor_parallel_workers
0.20800000000000002,0.226,0.21861904761904763,0.221,0.005769180766106932,0.095,0.10200000000000001,0.09925,0.1,0.0024264171117101877,1.076,1.178,1.1431499999999999,1.159,0.03836179740314574,0.108,0.116,0.11195000000000002,0.113,0.0021324868112136144,0.531,0.5700000000000001,0.5555500000000001,0.56,0.013811136810559815,0.095,0.101,0.099,0.1,0.0024083189157584613,4.358,4.757,4.621700000000001,4.6865000000000006,0.14867451025646605,0.453,0.468,0.4624999999999999,0.465,0.0054635153518590995,4.3340000000000005,4.749,4.62385,4.6805,0.14636163260909585,0.068,0.069,0.0685,0.0685,0.0005000000000000004,32,16,4096,36864,256128,False,4096,1
0.209,0.225,0.21838095238095243,0.22,0.0050282647814149746,0.094,0.101,0.09855,0.0995,0.0021558061137310117,1.076,1.162,1.13625,1.1500000000000001,0.03151646395140164,0.107,0.113,0.11115000000000001,0.112,0.0018781639970992963,0.527,0.559,0.5490000000000002,0.554,0.011502173707608499,0.094,0.1,0.09815,0.099,0.002127792283095323,4.3420000000000005,4.692,4.5904500000000015,4.641,0.12784305808294782,0.453,0.466,0.46159999999999995,0.463,0.0044204072210600725,4.331,4.687,4.59045,4.636,0.12324223099246456,0.068,0.069,0.0685,0.0685,0.0005000000000000004,32,16,4096,36864,256128,False,4096,1
0.217,0.222,0.21947619047619052,0.219,0.0013316315670580548,0.098,0.1,0.09915,0.099,0.00047696960070847325,1.143,1.159,1.1513,1.1515,0.006229767250868982,0.11,0.113,0.11165000000000003,0.112,0.0007921489758877437,0.542,0.549,0.54555,0.5465,0.002940663190506525,0.098,0.1,0.0988,0.099,0.0006000000000000005,4.6290000000000004,4.686,4.65745,4.6585,0.025092777845427978,0.459,0.462,0.46005,0.46,0.0010712142642814286,4.624,4.679,4.651400000000001,4.6525,0.0258309891409527,0.068,0.068,0.06800000000000002,0.068,1.3877787807814457e-17,32,16,4096,36864,256128,False,4064,1
0.213,0.22,0.21666666666666665,0.217,0.0016134356520092793,0.096,0.098,0.0975,0.098,0.0006708203932499376,1.133,1.151,1.1461000000000001,1.149,0.0061147362984842,0.109,0.111,0.10995000000000002,0.11,0.0007399324293474378,0.534,0.543,0.54055,0.542,0.0028543825952384192,0.096,0.098,0.09705,0.097,0.0005894913061275804,4.579,4.642,4.628000000000001,4.6395,0.022038602496528798,0.454,0.456,0.45565,0.456,0.000726291952316698,4.574,4.6370000000000005,4.62355,4.635,0.02158813331439299,0.067,0.068,0.06709999999999999,0.067,0.00030000000000000024,32,16,4096,36864,256128,False,4032,1
0.214,0.22,0.21614285714285714,0.216,0.0016413036132965808,0.097,0.098,0.09745000000000001,0.097,0.0004974937185533104,1.133,1.159,1.1486500000000002,1.1460000000000001,0.007206073826987863,0.108,0.112,0.11000000000000001,0.11,0.0008944271909999167,0.536,0.549,0.5439499999999999,0.543,0.0036942522924131786,0.096,0.098,0.0971,0.097,0.0007000000000000005,4.581,4.687,4.649000000000001,4.634,0.033128537546954884,0.45,0.454,0.45260000000000006,0.452,0.001280624847486571,4.575,4.681,4.64355,4.628,0.03235811335662195,0.067,0.067,0.06699999999999999,0.067,1.3877787807814457e-17,32,16,4096,36864,256128,False,4000,1
0.21,0.216,0.21280952380952384,0.213,0.001650946268891403,0.095,0.096,0.09570000000000002,0.096,0.0004582575694955843,1.1320000000000001,1.1500000000000001,1.14055,1.1395,0.007566207768757084,0.107,0.11,0.10855000000000001,0.108,0.0009205976319760993,0.53,0.54,0.53465,0.534,0.0036779749863206012,0.095,0.096,0.09540000000000001,0.095,0.000489897948556636,4.579,4.641,4.60805,4.5955,0.028667882726144955,0.446,0.449,0.44720000000000004,0.4475,0.001166190378969061,4.573,4.6370000000000005,4.6033,4.5995,0.03013320427700966,0.066,0.067,0.06605000000000001,0.066,0.00021794494717703385,32,16,4096,36864,256128,False,3968,1
0.20700000000000002,0.213,0.21071428571428572,0.21,0.001484614977916176,0.095,0.097,0.09580000000000001,0.096,0.000509901951359279,1.133,1.157,1.1449500000000001,1.145,0.0039048047326338898,0.107,0.109,0.10785000000000003,0.108,0.0006538348415311016,0.531,0.544,0.5373500000000001,0.537,0.002104162541250083,0.095,0.096,0.0952,0.095,0.0004000000000000003,4.581,4.638,4.6308,4.633,0.011491736161259467,0.443,0.445,0.44480000000000003,0.445,0.0006000000000000005,4.575,4.628,4.621949999999999,4.627,0.015653993100803284,0.065,0.066,0.06555,0.066,0.0004974937185533104,32,16,4096,36864,256128,False,3936,1
0.20800000000000002,0.213,0.20966666666666664,0.21,0.0012848321488792345,0.094,0.095,0.09464999999999998,0.095,0.00047696960070847325,1.1300000000000001,1.149,1.14195,1.1465,0.007123727956624952,0.105,0.108,0.10665000000000002,0.107,0.0006538348415311016,0.53,0.539,0.5355000000000001,0.538,0.0034568772034887243,0.093,0.095,0.0941,0.094,0.0006244997998398403,4.579,4.641,4.618599999999999,4.639,0.02737772817455835,0.439,0.442,0.4407000000000001,0.441,0.0011445523142259606,4.572,4.6370000000000005,4.613,4.635,0.029548265600538894,0.065,0.065,0.06499999999999999,0.065,1.3877787807814457e-17,32,16,4096,36864,256128,False,3904,1
0.20600000000000002,0.211,0.2080476190476191,0.20800000000000002,0.001045452304766665,0.094,0.095,0.09425000000000001,0.094,0.0004330127018922197,1.1420000000000001,1.145,1.1436,1.1435,0.0010198039027185428,0.105,0.107,0.10635000000000001,0.107,0.0007921489758877438,0.54,0.542,0.5407500000000001,0.541,0.0005361902647381809,0.093,0.095,0.0941,0.094,0.0004358898943540678,4.632,4.634,4.63255,4.6325,0.0005894913061277766,0.437,0.438,0.43790000000000007,0.438,0.0003000000000000003,4.626,4.627,4.626849999999999,4.627,0.0003570714214269446,0.064,0.064,0.06400000000000002,0.064,1.3877787807814457e-17,32,16,4096,36864,256128,False,3872,1
0.20500000000000002,0.209,0.2067142857142857,0.20700000000000002,0.0013502330360721684,0.093,0.094,0.0936,0.094,0.0004898979485566361,1.087,1.09,1.08765,1.088,0.0007262919523167428,0.10400000000000001,0.105,0.1046,0.105,0.0004898979485566293,0.491,0.493,0.4919500000000001,0.492,0.0004974937185533105,0.092,0.093,0.09295,0.093,0.00021794494717703385,4.328,4.333,4.329649999999999,4.3294999999999995,0.0011947803145349425,0.435,0.436,0.43549999999999994,0.4355,0.0005000000000000004,4.632,4.635,4.6335999999999995,4.634,0.0008000000000001118,0.063,0.063,0.06299999999999999,0.063,1.3877787807814457e-17,32,16,4096,36864,256128,False,3840,1
